| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local short form: Al Iraq |
| Country name: | local long form: Al Jumhuriyah al Iraqiyah |
| Government type: | none; note - the Iraqi Interim Government (IG) was appointed on 1 June 2004 |
| Capital: | Baghdad |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah); Al Anbar, Al Basrah, Al Muthanna, Al Qadisiyah, An Najaf, Arbil, As Sulaymaniyah, At Ta'mim, Babil, Baghdad, Dahuk, Dhi Qar, Diyala, Karbala', Maysan, Ninawa, Salah ad Din, Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi Interim Government |
| National holiday: | Revolution Day, 17 July (1968); note - this holiday was celebrated under the SADDAM Husayn regime but the Iraqi Interim Government has yet to declare a new national holiday |
| Constitution: | interim constitution signed 8 March 2004; note - the Transitional Administrative Law (TAL) was enacted 8 March 2004 to govern the country until an elected Iraqi Transitional Government can draft and ratify a new constitution in 2005 |
| Legal system: | based on civil and Islamic law under the Iraqi Interim Government (IG) and Transitional Administrative Law (TAL) |
| Suffrage: | formerly 18 years of age; universal |
| Executive branch: | chief of state: Interim Iraqi Government (IG) President Ghazi al-Ujayl al-YAWR (since 1 June 2004); Deputy Presidents Ibrahim al-JAFARI and Rowsch SHAWAYS (since 1 June 2004); note - the President and Deputy Presidents comprise the Presidency Council |
| Executive branch: | head of government: Interim Iraqi Government (IG) Prime Minister Ayad ALLAWI (since 28 June 2004) |
| Executive branch: | cabinet: 31 ministers appointed by the Presidency Council, plus a Deputy Prime Minister, Barham SALIH |
| Executive branch: | elections: scheduled to be held January 2005 |
| Legislative branch: | Iraqi Interim National Council formed in July 2004 |
| Judicial branch: | Supreme Court appointed by the Prime Minister, confirmed by the Presidency Council |
| Political parties and leaders: | note - the Iraqi political parties included below reflect only the major groups; new political parties continue to emerge, indicative of a rapidly changing political landscape; Al-Sadr Movement [Muqtada Al-SADR]; Da'wa Party [Ibrahim al-JA'FARI]; Iraqi Hizballah [Karim Mahud al-MUHAMMADAWI]; Iraqi National Accord or INA [Ayad ALLAWI]; Iraqi National Congress or INC [Ahmad CHALABI]; Jama'at al Fadilah or JAF [Ayatollah Muhammad ' Ali al-YAQUBI]; The Supreme Council for the Islamic Revolution in Iraq or SCIRI [Abd al-Aziz al-HAKIM]; Constitutional Monarchy Movement or CMM [Sharif Ali Bin al-HUSAYN]; Independent Iraqi Alliance or IIA [Falah al-NAQIB]; Iraqi Independent Democrats or IID [Adnan PACHACHI, Mahdi al-HAFIZ]; Iraqi Islamic Party or IIP [Muhsin Abd al-HAMID, Hajim al-HASSANI]; Iraqi National Unity Movement or INUM [Ahmad al-KUBAYSI, chariman]; Muslim Ulama Council or MUC [Harith Sulayman al-DARI, secretary general]; Kurdistan Democratic Party or KDP [Masud BARZANI]; Patriotic Union of Kurdistan or PUK [Jalal TALABANI] |
| Political pressure groups and leaders: | an insurgency against the Iraqi Interim Government and Coalition forces is primarily concentrated in Baghdad and in areas west and north of the capital; the diverse, multigroup insurgency is led principally by Sunni Arabs whose only common denominator is a shared desire to oust the Coalition and end US influence in Iraq |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAS, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer), WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation in the US: | chancery: 1801 P Street, NW, Washington, D.C. 20036 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-5066 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7500 |
| Diplomatic representation from the US: | chief of mission: Ambassador John D. NEGROPONTE |
| Diplomatic representation from the US: | embassy: Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 00-1-240-553-0584 ext. 4354; note - Consular Section |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black with three green five-pointed stars in a horizontal line centered in the white band; the phrase ALLAHU AKBAR (God is Great) in green Arabic script - Allahu to the right of the middle star and Akbar to the left of the middle star - was added in January 1991 during the Persian Gulf crisis; similar to the flag of Syria, which has two stars but no script, Yemen, which has a plain white band, and that of Egypt which has a gold Eagle of Saladin centered in the white band; design is based upon the Arab Liberation colors |
