| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local long form: Al Jumhuriyah al Iraqiyah |
| Country name: | local short form: Al Iraq |
| Government type: | none; note - the Iraqi Interim Government (IG) was appointed on 1 June 2004 |
| Capital: | Baghdad |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah); Al Anbar, Al Basrah, Al Muthanna, Al Qadisiyah, An Najaf, Arbil, As Sulaymaniyah, At Ta'mim, Babil, Baghdad, Dahuk, Dhi Qar, Diyala, Karbala', Maysan, Ninawa, Salah ad Din, Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi Interim Government |
| National holiday: | Revolution Day, 17 July (1968); note - this holiday was celebrated under the SADDAM Husayn regime but the Iraqi Interim Government has yet to declare a new national holiday |
| Constitution: | interim constitution signed 8 March 2004; note - the Transitional Administrative Law (TAL) was enacted 8 March 2004 to govern the country until an elected Iraqi Government can draft and ratify a new constitution in 2005 |
| Legal system: | based on civil and Islamic law under the Iraqi Interim Government (IG) and Transitional Administrative Law (TAL) |
| Suffrage: | formerly 18 years of age; universal |
| Executive branch: | chief of state: Iraqi Transitional Government (ITG) President Jalal TALABANI (since 6 April 2005); Deputy Presidents Adil Abd AL-MAHDI and Ghazi al-Ujayl al-YAWR (since 6 April 2005); note - the President and Deputy Presidents comprise the Presidency Council) |
| Executive branch: | head of government: Iraqi Transitional Government (ITG) Prime Minister Ibrahim al-JAFARI (since April 2005); Deputy Prime Ministers Rowsch SHAWAYS, Ahmad CHALABI, and Abid al-Mutlaq al-JABBURI (since May 2005) |
| Executive branch: | cabinet: 32 ministers appointed by the Presidency Council, plus Prime Minister Ibrahim al-JAFARI, Deputy Prime Ministers Rowsch SHAWAYS, Ahmad CHALABI, and Abid al-Mutlaq al-JABBURI |
| Executive branch: | elections: held 30 January 2005 to elect a 275-member Transitional National Assembly that will draft a permanent constitution and pave the way for new national elections at the end of 2005 |
| Legislative branch: | unicameral National Assembly or Mejlis Watani (consisting of 275 members elected by a closed-list, proportional-representation system for the period between the National Assembly election and the formation of a permanent Iraqi government pursuant to the establishment of a permanent constitution) |
| Legislative branch: | elections: held 30 January 2005 to elect a 275-member Transitional National Assembly that will draft a permanent constitution and pave the way for new national elections at the end of 2005 |
| Legislative branch: | election results: National Assembly - percent of vote by party - United Iraqi Alliance 48.2%, Democratic Patriotic Alliance of Kurdistan 25.7%, Iraqi List 13.8%, others 12.3%; number of seats by party - United Iraqi Alliance 140, Democratic Patriotic Alliance of Kurdistan 75, Iraqi List 40, others 20 |
| Judicial branch: | Supreme Court appointed by the Prime Minister, confirmed by the Presidency Council |
| Political parties and leaders: | Al-Sadr Movement [Muqtada Al-SADR]; Constitutional Monarchy Movement or CMM [Sharif Ali Bin al-HUSAYN]; Da'wa Party [Ibrahim al-JA'FARI]; Independent Iraqi Alliance or IIA [Falah al-NAQIB]; Iraqi Hizballah [Karim Mahud al-MUHAMMADAWI]; Iraqi Independent Democrats or IID [Adnan PACHACHI, Mahdi al-HAFIZ]; Iraqi Islamic Party or IIP [Muhsin Abd al-HAMID, Hajim al-HASSANI]; Iraqi National Accord or INA [Ayad ALLAWI]; Iraqi National Congress or INC [Ahmad CHALABI]; Iraqi National Unity Movement or INUM [Ahmad al-KUBAYSI, chairman]; Jama'at al Fadilah or JAF [Ayatollah Muhammad ' Ali al-YAQUBI]; Kurdistan Democratic Party or KDP [Masud BARZANI]; Muslim Ulama Council or MUC [Harith Sulayman al-DARI, secretary general]; Patriotic Union of Kurdistan or PUK [Jalal TALABANI] |
| Political parties and leaders: | note: the Democratic Patriotic Alliance of Kurdistan, the Iraqi List, and the United Iraqi Alliance were only electoral slates consisting of the representatives from the various Iraqi political parties |
| Political pressure groups and leaders: | an insurgency against the Iraqi Interim Government and Coalition forces is primarily concentrated in Baghdad and in areas west and north of the capital; the diverse, multigroup insurgency is led principally by Sunni Arabs whose only common denominator is a shared desire to oust the Coalition and end US influence in Iraq |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAS, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer), WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Rend Rahim FRANCKE |
| Diplomatic representation in the US: | chancery: 1801 P Street, NW, Washington, D.C. 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7500 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-5066 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires James F. JEFFREY |
| Diplomatic representation from the US: | embassy: Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 00-1-240-553-0584 ext. 4354; note - Consular Section |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black with three green five-pointed stars in a horizontal line centered in the white band; the phrase ALLAHU AKBAR (God is Great) in green Arabic script - Allahu to the right of the middle star and Akbar to the left of the middle star - was added in January 1991 during the Persian Gulf crisis; similar to the flag of Syria, which has two stars but no script, Yemen, which has a plain white band, and that of Egypt which has a gold Eagle of Saladin centered in the white band; design is based upon the Arab Liberation colors |
