| Government | Serbia and Montenegro |
| --- | --- |
| Country name: | conventional long form: Serbia and Montenegro |
| Country name: | conventional short form: none |
| Country name: | local long form: Srbija i Crna Gora |
| Country name: | local short form: none |
| Country name: | former: Federal Republic of Yugoslavia |
| Country name: | abbreviation: SCG |
| Government type: | republic |
| Capital: | Belgrade |
| Administrative divisions: | 2 republics (republike, singular - republika); and 2 nominally autonomous provinces* (autonomn pokrajine, singular - autonomna pokrajina); Kosovo* (temporarily under UN administration, per UN Security Council Resolution 1244), Montenegro, Serbia, Vojvodina* |
| Independence: | 27 April 1992 (Federal Republic of Yugoslavia or FRY - now Serbia and Montenegro - formed as self-proclaimed successor to the Socialist Federal Republic of Yugoslavia or SFRY) |
| National holiday: | National Day, 27 April |
| Constitution: | 4 February 2003 |
| Legal system: | based on civil law system |
| Suffrage: | 16 years of age, if employed; 18 years of age, universal |
| Executive branch: | chief of state: President Svetozar MAROVIC (since 7 March 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Svetozar MAROVIC (since 7 March 2003); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Federal Ministries act as Cabinet |
| Executive branch: | elections: president elected by the parliament for a four-year term; election last held 7 March 2003 (next to be held 2007) |
| Executive branch: | election results: Svetozar MAROVIC elected president by the parliament; vote was Svetozar MAROVIC 65, other 47 |
| Legislative branch: | unicameral Parliament (126 seats - 91 Serbian, 35 Montenegrin - filled by nominees of the two state parliaments for the first two years, after which the Constitutional Charter calls for direct elections |
| Legislative branch: | elections: last held 25 February 2003 (next to be held 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Serbian parties: SRS 30, DSS 20, DS 13, G17 Plus 12, SPO-NS 8, SPS 8; Montenegrin parties: DPS 15, SNP 9, SDP 4, DSS 3, NS 2, LSCG 2 |
| Judicial branch: | The Court of Serbia and Montenegro; judges are elected by the Serbia and Montenegro Parliament for six-year terms |
| Judicial branch: | note: since the promulgation of the 2003 Constitution, the Federal Court has constitutional and administrative functions; it has an equal number of judges from each republic |
| Political parties and leaders: | Democratic Party or DS [Boris TADIC]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Party of Socialists of Montenegro or DPS [Milo DJUKANOVIC]; Democratic Serbian Party of Montenegro or DSS [Bozidar BOJOVIC]; G17 Plus [Miroljub LABUS]; New Serbia or NS [Velimir ILIC]; Liberal Party of Montenegro or LSCG [Miodrag ZIVKOVIC]; People's Party of Montenegro or NS [Dragan SOC]; Power of Serbia Movement or PSS [Bogoljub KARIC]; Serbian Radical Party or SRS [Tomislav NIKOLIC]; Serbian Renewal Movement or SPO [Vuk DRASKOVIC]; Serbian Socialist Party or SPS (former Communist Party and party of Slobodan MILOSEVIC) [Ivica DACIC, president of Main Board]; Social Democratic Party of Montenegro or SDP [Ranko KRIVOKAPIC]; Socialist People's Party of Montenegro or SNP [Predrag BULATOVIC] |
| Political parties and leaders: | note: the following political parties participate in elections and institutions only in Kosovo, which has been governed by the UN under UNSCR 1244 since 1999: Albanian Christian Democratic Party or PSHDK [Mark KRASNIQI]; Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ]; Citizens' Initiative of Serbia or GIS [Slavisa PETKOVIC]; Democratic Ashkali Party of Kosovo or PDAK [Sabit RRAHMANI]; Democratic League of Kosovo or LDK [Ibrahim RUGOVA]; Democratic Party of Kosovo or PDK [Hashim THACI]; Justice Party of PD [Sylejman CERKEZI]; Kosovo Democratic Turkish Party of KDTP [Mahir YAGCILAR]; Liberal Party of Kosovo or PLK [Gjergj DEDAJ]; Ora [Veton SURROI]; New Democratic Initiative of Kosovo or IRDK [Bislim HOTI]; Party of Democratic Action or SDA [Numan BALIC]; Popular Movement of Kosovo or LPK [Emrush XHEMAJLI]; Prizren-Dragas Initiative or PDI [Ismajl KARADOLAMI]; Serb List for Kosovo and Metohija or SLKM [Oliver IVANOVIC]; United Roma Party of Kosovo or PREBK [Haxhi Zylfi MERXHA]; Vakat [leader NA] |
| Political pressure groups and leaders: | Political Council for Presevo, Medvedja and Bujanovac or PCPMB [leader NA]; Group for Changes of Montenegro or GZP [Nebojsa MEDOJEVIC] |
| International organization participation: | BSEC, CE, CEI, EBRD, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MONUC, NAM, OAS (observer), ONUB, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ivan VUJACIC |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael C. POLT |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
| Diplomatic representation from the US: | FAX: [381] (11) 361-8230 |
| Diplomatic representation from the US: | consulate(s): Podgorica |
| Diplomatic representation from the US: | note: there is a branch office in Pristina at 30 Nazim Hikmet 38000 Pristina, Kosovo; telephone: [381](38)549-516; FAX: [381](38)549-890 |
| Flag description: | three equal horizontal bands of blue (top), white, and red |
