| Government |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Yugoslavia |
| Country name: | conventional short form: Yugoslavia |
| Country name: | local long form: Savezna Republika Jugoslavija |
| Country name: | local short form: Jugoslavija |
| Government type: | republic |
| Capital: | Belgrade |
| Administrative divisions: | 2 republics (republike, singular - republika); and 2 nominally autonomous provinces* (autonomn pokrajine, singular - autonomna pokrajina); Kosovo*, Montenegro, Serbia, Vojvodina* |
| Independence: | 27 April 1992 (Federal Republic of Yugoslavia or FRY formed as self-proclaimed successor to the Socialist Federal Republic of Yugoslavia or SFRY) |
| National holiday: | Republic Day, 29 November |
| Constitution: | 27 April 1992 |
| Legal system: | based on civil law system |
| Suffrage: | 16 years of age, if employed; 18 years of age, universal |
| Executive branch: | chief of state: President Vojislav KOSTUNICA (since 7 October 2000) |
| Executive branch: | head of government: Prime Minister Dragisa PESIC (since 24 July 2001); Deputy Prime Minister Miroljub LABUS (since 25 January 2001) |
| Executive branch: | cabinet: Federal Executive Council |
| Executive branch: | elections: president elected by direct popular vote for up to two, four-year terms; election last held 24 September 2000 (next to be held NA 2004); prime minister appointed by the president |
| Executive branch: | election results: Vojislav KOSTUNICA elected president; percent of vote - Vojislav KOSTUNICA 55%, Slobodan MILOSEVIC 35% |
| Legislative branch: | bicameral Federal Assembly or Savezna Skupstina consists of the Chamber of Republics or Vece Republika (40 seats - 20 Serbian, 20 Montenegrin; members distributed on the basis of party representation in the republican assemblies to serve four-year terms; note - the Assembly passed a new constitutional amendment calling for direct elections for the deputies to the upper chamber) and the Chamber of Citizens or Vece Gradjana (138 seats - 108 Serbian with half elected by constituency majorities and half by proportional representation, 30 Montenegrin with six elected by constituency and 24 proportionally; members serve four-year terms) |
| Legislative branch: | elections: Chamber of Republics - last held 24 September 2000 (next to be held NA 2004); Chamber of Citizens - last held 24 September 2000 (next to be held NA 2004) |
| Legislative branch: | election results: Chamber of Republics - percent of vote by party - NA%; seats by party - SNP 19, DOS 10, SPS/JUL 7, SRS 2, SPO 1, SNS 1; note - seats are filled on a proportional basis to reflect the composition of the legislatures of the republics of Montenegro and Serbia; since 1998 Serbia has effectively barred Montenegro from its constitutional right to delegate deputies to the Chamber of Republics; Chamber of Citizens - percent of vote by party - NA%; seats by party - DOS 55, SPS/JUL 46, SNP 28, SRS 4, SNS 2, other 3 |
| Judicial branch: | Federal Court or Savezni Sud; Constitutional Court; judges for both courts are elected by the Federal Assembly for nine-year terms |
| Political parties and leaders: | Alliance of Vojvodina Hungarians or SVM [Jozsef KASZA]; Civic Alliance of Serbia or GSS [Vesna PESIC]; Coalition Sandzak [Rasim JAJIC]; Coalition Sumadija [Branislav KOVACEVIC]; Democratic Alternative of DA [Nebojsa COVIC]; Democratic Center or DC [Dragoljub MICUNOVIC]; Democratic Christian Party of Serbia of DHSS [Vladan BATIC]; Democratic League of Kosovo or LDK [Dr. Ibrahim RUGOVA, president]; Democratic Opposition of Serbia or DOS [leader NA]; Democratic Party or DS [Zoran DJINDJIC]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Party of Socialists of Montenegro or DPS [Milo DJUKANOVIC]; Movement for a Democratic Serbia or PDS [Momcilo PERISIC]; New Democracy or ND [Dusan MIHAJLOVIC]; New Serbia [Velimir ILIC and Milan St. PROTIC]; People's Party of Montenegro or NS [Dragan SOC]; Serb People's Party or SNS [leader NA]; Serbian Radical Party or SRS [Vojislav SESELJ]; Serbian Renewal Movement or SPO [Vuk DRASKOVIC, president]; Serbian Socialist Party or SPS (former Communist Party) [Slobodan MILOSEVIC]; Social Democracy or SD [Vuk OBRADOVIC]; Social Democratic Union or SDU [Zarko KORAC]; Socialist People's Party of Montenegro or SNP [Momir BULATOVIC]; Yugoslav United Left or JUL [Ljubisa RISTIC] |
| Political pressure groups and leaders: | Alliance for the Future of Kosovo or AAK [leader RAMUSH]; Group of 17 Independent Economists or G-17 [leader NA]; National Movement for the Liberation of Kosovo or LKCK [Sabit GASHI]; Otpor Student Resistance Movement [leader NA]; Political Council for Presevo, Meveda and Bujanovac or PCPMB [leader NA]; The People's Movement for Kosovo or LPK [leader NA] |
| International organization participation: | BIS, CE (guest), FAO (applicant), G- 9, G-15, G-24, G-77, IAEA, ICAO, ICC, ICFTU, ICRM, IFAD, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, IOC, IOM (observer), ISO, ITU, NAM, OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Milan PROTIC |
| Diplomatic representation in the US: | chancery: 2410 California St. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | note: Yugoslavia restored its diplomatic mission in the US in November 2000 after temporarily ceasing its operations at the beginning of the March 1999 NATO bombing campaign |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires William MONTGOMERY |
| Diplomatic representation from the US: | embassy: Kneza Milosa 30, 11000 Belgrade |
| Diplomatic representation from the US: | note: the US reestablished relations with Yugoslavia 17 November 2000; the embassy is not scheduled to open for business until extensive renovations have been completed |
| Flag description: | three equal horizontal bands of blue (top), white, and red |
