| Government | Serbia and Montenegro |
| --- | --- |
| Country name: | conventional long form: Serbia and Montenegro |
| Country name: | conventional short form: none |
| Country name: | local short form: none |
| Country name: | local long form: Srbija-Crna Gora |
| Government type: | republic |
| Capital: | Belgrade |
| Administrative divisions: | 2 republics (republike, singular - republika); and 2 nominally autonomous provinces* (autonomn pokrajine, singular - autonomna pokrajina); Kosovo*, Montenegro, Serbia, Vojvodina* |
| Independence: | 27 April 1992 (Federal Republic of Yugoslavia or FRY formed as self-proclaimed successor to the Socialist Federal Republic of Yugoslavia or SFRY) |
| National holiday: | Republic Day, 29 November |
| Constitution: | 27 April 1992 |
| Legal system: | based on civil law system |
| Suffrage: | 16 years of age, if employed; 18 years of age, universal |
| Executive branch: | chief of state: President Svetozar MAROVIC (since 7 March 2003) |
| Executive branch: | head of government: Prime Minister Dragisa PESIC (since 24 July 2001); Deputy Prime Minister Miroljub LABUS (since 25 January 2001) |
| Executive branch: | cabinet: Federal Ministries act as Cabinet |
| Executive branch: | elections: president elected by the Parliament for a four-year term; election last held 7 March 2003 (next to be held NA 2007); prime minister appointed by the president |
| Executive branch: | election results: Svetozar MAROVIC elected president by the Parliament; percent of vote - Svetozar MAROVIC NA% |
| Legislative branch: | unicameral Parliament (126 seats - 91 Serbian, 35 Montenegrin - filled by nominees of the two state parliaments for the first two years, after which the president will call for public elections |
| Legislative branch: | elections: last held 25 February 2003 (next to be held NA 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - DOS 37, DLECG 19, DSS 17, ZP 14, SPS 12, SRS 8, SDP 5, SSJ 5, other 9 |
| Judicial branch: | Federal Court or Savezni Sud; Constitutional Court; judges for both courts are elected by the Federal Assembly for nine-year terms |
| Judicial branch: | note: after the promulgation of the new Constitution, the Federal Court will have constitutional and administrative functions; it will have an equal number of judges from each republic |
| Political parties and leaders: | Alliance of Vojvodina Hungarians or SVM [Jozsef KASZA]; Democratic League of Kosovo or LDK [Dr. Ibrahim RUGOVA, president]; Democratic List for European Montenegro or DLECG [leader NA]; Democratic Opposition of Serbia or DOS (a coalition of many small parties including DSS) [leader NA]; Democratic Party or DS [Zoran DJINDJIC]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Party of Socialists of Montenegro or DPS [Milo DJUKANOVIC]; Party of Serb Unity or SSJ [Borislav PELEVIC]; Serbian Radical Party or SRS [Tomislav NIKOLIC]; Serbian Socialist Party or SPS (former Communist Party and party of Slobodan MILOSEVIC) [Zoran ANDJELKOVIC, general secretary]; Social Dmocratic Party or SDP [Rasim LJAJIC]; Together for Changes or ZP [leader NA] |
| Political pressure groups and leaders: | Alliance for the Future of Kosovo or AAK [Ramush HARADINAJ]; Democratic League of Kosovo or LDK [Ibrahim RUGOVA]; Democratic Party of Kosovo or PDK [Hashim THACI]; Group of 17 Independent Economists or G-17 [leader NA]; National Movement for the Liberation of Kosovo or LKCK [Sabit GASHI]; Otpor Student Resistance Movement [leader NA]; Political Council for Presevo, Meveda and Bujanovac or PCPMB [leader NA]; The People's Movement for Kosovo or LPK [Emrush XHEMAJLI] |
| International organization participation: | ABEDA, BIS, CCC, CE (guest), CEI, EBRD, FAO, G- 9, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Ivan ZIVKOVIC |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-6566 |
| Diplomatic representation from the US: | chief of mission: Ambassador William D. MONTGOMERY |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
| Diplomatic representation from the US: | FAX: [381] (11) 646-031 |
| Diplomatic representation from the US: | branch office: Pristina |
| Flag description: | three equal horizontal bands of blue (top), white, and red |
