| Government | Tanzania |
| --- | --- |
| Country name: | conventional long form: United Republic of Tanzania |
| Country name: | conventional short form: Tanzania |
| Country name: | local long form: Jamhuri ya Muungano wa Tanzania |
| Country name: | local short form: Tanzania |
| Country name: | former: United Republic of Tanganyika and Zanzibar |
| Government type: | republic |
| Capital: | name: Dar es Salaam |
| Capital: | geographic coordinates: 6 48 S, 39 17 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: legislative offices have been transferred to Dodoma, which is planned as the new national capital; the National Assembly now meets there on a regular basis |
| Administrative divisions: | 26 regions; Arusha, Dar es Salaam, Dodoma, Iringa, Kagera, Kigoma, Kilimanjaro, Lindi, Manyara, Mara, Mbeya, Morogoro, Mtwara, Mwanza, Pemba North, Pemba South, Pwani, Rukwa, Ruvuma, Shinyanga, Singida, Tabora, Tanga, Zanzibar Central/South, Zanzibar North, Zanzibar Urban/West |
| Independence: | 26 April 1964; Tanganyika became independent 9 December 1961 (from UK-administered UN trusteeship); Zanzibar became independent 19 December 1963 (from UK); Tanganyika united with Zanzibar 26 April 1964 to form the United Republic of Tanganyika and Zanzibar; renamed United Republic of Tanzania 29 October 1964 |
| National holiday: | Union Day (Tanganyika and Zanzibar), 26 April (1964) |
| Constitution: | 25 April 1977; major revisions October 1984 |
| Legal system: | based on English common law; judicial review of legislative acts limited to matters of interpretation; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jakaya KIKWETE (since 21 December 2005); Vice President Dr. Ali Mohammed SHEIN (since 5 July 2001); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jakaya KIKWETE (since 21 December 2005); Vice President Dr. Ali Mohammed SHEIN (since 5 July 2001) |
| Executive branch: | note: Zanzibar elects a president who is head of government for matters internal to Zanzibar; Amani Abeid KARUME was reelected to that office on 30 October 2005 |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of the National Assembly |
| Executive branch: | elections: president and vice president elected on the same ballot by popular vote for five-year terms (eligible for a second term); election last held 14 December 2005 (next to be held in December 2010); prime minister appointed by the president |
| Executive branch: | election results: Jakaya KIKWETE elected president; percent of vote - Jakaya KIKWETE 80.3%, Ibrahim LIPUMBA 11.7%, Freeman MBOWE 5.9% |
| Legislative branch: | unicameral National Assembly or Bunge (274 seats; 232 members elected by popular vote, 37 allocated to women nominated by the president, 5 to members of the Zanzibar House of Representatives; to serve five-year terms); note - in addition to enacting laws that apply to the entire United Republic of Tanzania, the Assembly enacts laws that apply only to the mainland; Zanzibar has its own House of Representatives to make laws especially for Zanzibar (the Zanzibar House of Representatives has 50 seats elected by universal suffrage to serve five-year terms) |
| Legislative branch: | elections: last held 14 December 2005 (next to be held in December 2010) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA; seats by party - CCM 206, CUF 19, CHADEMA 5, other 2, women appointed by the president 37, Zanzibar representatives 5 Zanzibar House of Representatives - percent of vote by party - NA; seats by party - CCM 30, CUF 19; 1 seat was nullified with a rerun to take place soon |
| Judicial branch: | Permanent Commission of Enquiry (official ombudsman); Court of Appeal (consists of a chief justice and four judges); High Court (consists of a Jaji Kiongozi and 29 judges appointed by the president; holds regular sessions in all regions); District Courts; Primary Courts (limited jurisdiction and appeals can be made to the higher courts) |
| Political parties and leaders: | Chama Cha Demokrasia na Maendeleo (Party of Democracy and Development) or CHADEMA [Bob MAKANI]; Chama Cha Mapinduzi or CCM (Revolutionary Party) [Jakaya Mrisho KIKWETE]; Civic United Front or CUF [Ibrahim LIPUMBA]; Democratic Party [Christopher MTIKLA] (unregistered); Tanzania Labor Party or TLP [Augustine Lyatonga MREME]; United Democratic Party or UDP [John CHEYO] |
| Political pressure groups and leaders: | Economic and Social Research Foundation or ESRF; Free Zanzibar; Tanzania Media Women's Association or TAMWA |
| International organization participation: | ACP, AfDB, AU, C, EAC, EADB, FAO, G-6, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, OPCW, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ombeni Yohana SEFUE |
| Diplomatic representation in the US: | chancery: 2139 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-6125 |
| Diplomatic representation in the US: | FAX: [1] (202) 797-7408 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mark GREEN |
| Diplomatic representation from the US: | embassy: 686 Old Bagamoyo Road, Msasani, Dar es Salaam |
| Diplomatic representation from the US: | mailing address: P. O. Box 9123, Dar es Salaam |
| Diplomatic representation from the US: | telephone: [255] (22) 266-8001 |
| Diplomatic representation from the US: | FAX: [255] (22) 266-8238, 266-8373 |
| Flag description: | divided diagonally by a yellow-edged black band from the lower hoist-side corner; the upper triangle (hoist side) is green and the lower triangle is blue |
