| Government | BURUNDI |
| --- | --- |
| Country name: | conventional long form: Republic of Burundi |
| Country name: | conventional short form: Burundi |
| Country name: | local long form: Republique du Burundi/Republika y'u Burundi |
| Country name: | local short form: Burundi |
| Country name: | former: Urundi |
| Country name: | etymology: name derived from the pre-colonial Kingdom of Burundi (17th-19th century) |
| Government type: | presidential republic |
| Capital: | name: Bujumbura |
| Capital: | geographic coordinates: 3 22 S, 29 21 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 provinces; Bubanza, Bujumbura Mairie, Bujumbura Rural, Bururi, Cankuzo, Cibitoke, Gitega, Karuzi, Kayanza, Kirundo, Makamba, Muramvya, Muyinga, Mwaro, Ngozi, Rumonge, Rutana, Ruyigi |
| Independence: | 1 July 1962 (from UN trusteeship under Belgian administration) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | several previous; latest ratified by popular referendum 28 February 2005 (2016) |
| Legal system: | mixed legal system of Belgian civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Burundi |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pierre NKURUNZIZA (since 26 August 2005); First Vice President Gaston SINDIMWO (since 25 August 2015); Second Vice President Joseph BUTORE (since 25 August 2015); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Pierre NKURUNZIZA (since 26 August 2005); First Vice President Prosper BAZOMBAZA (since 13 February 2014); Second Vice President Gervais RUFYIKIRI (since 29 August 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 21 July 2015(next to be held in 2020); vice presidents nominated by the president, endorsed by Parliament |
| Executive branch: | election results: Pierre NKURUNZIZA reelected president; percent of vote - Pierre NKURUNZIZA (CNDD-FDD) 69.4%, Agathon RWASA (National Liberation Forces) 19%, other 11.6% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of the Senate or Inama Nkenguzamateka (49 seats in the July 2015 election; 34 members indirectly elected by an electoral college of provincial councils using a three-round voting system which requires a two-thirds majority vote in the first two rounds and a simple majority vote for the two leading candidates in the final round; 4 seats reserved for former heads of state, 3 seats reserved for Twas, and 8 seats for women; members serve 5-year terms) and the National Assembly or Inama Nshingamateka (121 seats in the June 2015 election; 100 members directly elected in multi-seat constituencies by proportional representation vote and 21 co-opted members – 3 Twas and 18 women; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 24 July 2015 (next to be held in 2019); National Assembly - last held on 29 June 2015 (next to be held on 2020) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - CNDD-FDD 30, FRODEBU 3, CNDD 1, and 4 seats reserved for heads of state, 3 seats for Twas, and 8 seats for women; National Assembly - percent of vote by party (preliminary results) - CNDD-FDD 60.3%, Burundians' Hope Independent 11.2% UPRONA 2.5%, other 26%; seats by party - CNDD-FDD 77, Burundians' Hope Independent 21, UPRONA 2, seats for women 18, seats for Twas 3 |
| Judicial branch: | highest court(s): Supreme Court (consists of 9 judges and organized into judicial, administrative, and cassation chambers); Constitutional Court (consists of 7 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Judicial Service Commission, a 15-member independent body of judicial and legal profession officials), appointed by the president, and confirmed by the Senate; judge tenure NA; Constitutional Court judges appointed by the president and confirmed by the Senate and serve 6-year nonrenewable terms |
| Judicial branch: | subordinate courts: Courts of Appeal; County Courts; Courts of Residence; Martial Court; Court Against Corruption; Commercial Court |
| Political parties and leaders: | Burundians' Hope Independent (also called Hope for Burundians) |
| Political parties and leaders: | Front for Democracy in Burundi or FRODEBU [Leonce NGENDAKUMANA] |
| Political parties and leaders: | National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD [Pascal NYABENDA] |
| Political parties and leaders: | National Liberation Forces or FNL [Agathon RWASA] |
| Political parties and leaders: | National Council for the Defense of Democracy or CNDD [Leonard NYANGOMA] |
| Political parties and leaders: | National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI] |
| Political parties and leaders: | Party for National Redress or PARENA [Jean-Baptiste BAGAZA] |
| Political parties and leaders: | Union for National Progress (Union pour le Progress Nationale) or UPRONA [Pierre BUYOYA] |
| Political pressure groups and leaders: | Forum for the Strengthening of Civil Society or FORSC [Pacifique NININAHAZWE] (civil society umbrella organization) |
| Political pressure groups and leaders: | Observatoire de lutte contre la corruption et les malversations economiques or OLUCOME [Gabriel RUFYIRI] (anti-corruption pressure group) |
| Political pressure groups and leaders: | other: Hutu and Tutsi militias (loosely organized) |
| International organization participation: | ACP, AfDB, AU, CEMAC, CEPGL, CICA, COMESA, EAC, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ernest NDABASHINZE (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Avenue NW, Suite 408, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2574 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-2578 |
| Diplomatic representation from the US: | chief of mission: Ambassador Anne S. CASPER (since 2016) |
| Diplomatic representation from the US: | embassy: Avenue Des Etats-Unis, Bujumbura |
| Diplomatic representation from the US: | mailing address: B.P. 1720, Bujumbura |
| Diplomatic representation from the US: | telephone: [257] 22-207-000 |
| Diplomatic representation from the US: | FAX: [257] 22-222-926 |
