| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Burundi |
| Country name: | conventional short form: Burundi |
| Country name: | local long form: Republika y'u Burundi |
| Country name: | local short form: Burundi |
| Country name: | former: Urundi |
| Government type: | republic |
| Capital: | Bujumbura |
| Administrative divisions: | 16 provinces; Bubanza, Bujumbura, Bururi, Cankuzo, Cibitoke, Gitega, Karuzi, Kayanza, Kirundo, Makamba, Muramvya, Muyinga, Mwaro, Ngozi, Rutana, Ruyigi |
| Independence: | 1 July 1962 (from UN trusteeship under Belgian administration) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | 13 March 1992; provided for establishment of a plural political system; supplanted on 6 June 1998 by a Transitional Constitution which enlarged the National Assembly and created two vice presidents |
| Legal system: | based on German and Belgian civil codes and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | NA years of age; universal adult |
| Executive branch: | chief of state: President Pierre BUYOYA (interim president since 27 September 1996, officially sworn in 11 June 1998), First Vice President Frederic BAMVUGINYUMVIRA (since NA June 1998), Second Vice President Mathias SINAMENYE (since NA June 1998); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Pierre BUYOYA (interim president since 27 September 1996, officially sworn in 11 June 1998), First Vice President Frederic BAMVUGINYUMVIRA (since NA June 1998), Second Vice President Mathias SINAMENYE (since NA June 1998); note - the president is both chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by president |
| Executive branch: | elections: NA; current president assumed power following a coup on 25 July 1996 in which former President NTIBANTUNGANYA was overthrown |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (121 seats; note - new Transitional Constitution expanded the number of seats from 81 to 121 in 1998; members are elected by popular vote on a proportional basis to serve five-year terms) |
| Legislative branch: | elections: last held 29 June 1993 (next was scheduled to be held in 1998, but suspended by presidential decree in 1996) |
| Legislative branch: | election results: percent of vote by party - FRODEBU 71.04%, UPRONA 21.4%, other 7.56%; seats by party - FRODEBU 65, UPRONA 16, various other parties 40 |
| Judicial branch: | Supreme Court or Cour Supreme; Constitutional Court; Courts of Appeal (there are three in separate locations); Tribunals of First Instance (17 at the province level and 123 small local tribunals) |
| Political parties and leaders: Two national, mainstream governing parties are: | Unity for National Progress or UPRONA [Luc RUKINGAMA, president]; Burundi Democratic Front or FRODEBU [Jean MINANI, president] |
| Political parties and leaders: Two national, mainstream governing parties are: | note: A multiparty system was introduced after 1998, included are: Burundi African Alliance for the Salvation or ABASA [Terrence NSANZE]; Rally for Democracy and Economic and Social Development or RADDES [Joseph NZENZIMANA]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA]; People's Reconciliation Party or PRP [Mathias HITIMANA] |
| Political pressure groups and leaders: | Loosely organized Tutsi militias, often affiliated with Tutsi extremist parties |
| International organization participation: | ACCT, ACP, AfDB, CCC, CEEAC, CEPGL, ECA, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Thomas NDIKUMANA |
| Diplomatic representation in the US: | chancery: Suite 212, 2233 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2574 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-2578 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Carlin YATES |
| Diplomatic representation from the US: | embassy: Avenue des Etats-Unis, Bujumbura |
| Diplomatic representation from the US: | mailing address: B. P. 1720, Bujumbura |
| Diplomatic representation from the US: | telephone: [257] 223454 |
| Diplomatic representation from the US: | FAX: [257] 222926 |
| Flag description: | divided by a white diagonal cross into red panels (top and bottom) and green panels (hoist side and outer side) with a white disk superimposed at the center bearing three red six-pointed stars outlined in green arranged in a triangular design (one star above, two stars below) |
