| Government | Burundi |
| --- | --- |
| Country name: | conventional long form: Republic of Burundi |
| Country name: | conventional short form: Burundi |
| Country name: | local long form: Republique du Burundi/Republika y'u Burundi |
| Country name: | local short form: Burundi |
| Country name: | former: Urundi |
| Government type: | republic |
| Capital: | name: Bujumbura |
| Capital: | geographic coordinates: 3 22 S, 29 21 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 17 provinces; Bubanza, Bujumbura Mairie, Bujumbura Rural, Bururi, Cankuzo, Cibitoke, Gitega, Karuzi, Kayanza, Kirundo, Makamba, Muramvya, Muyinga, Mwaro, Ngozi, Rutana, Ruyigi |
| Independence: | 1 July 1962 (from UN trusteeship under Belgian administration) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | ratified by popular referendum 28 February 2005 |
| Legal system: | mixed legal system of Belgian civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pierre NKURUNZIZA - Hutu (since 26 August 2005); First Vice President Therence SINUNGURUZA - Tutsi (since 29 August 2010); Second Vice President Gervais RUFYIKIRI - Hutu (since 29 August 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Pierre NKURUNZIZA - Hutu (since 26 August 2005); First Vice President Therence SINUNGURUZA - Tutsi (since 29 August 2010); Second Vice President Gervais RUFYIKIRI - Hutu (since 29 August 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the president elected by popular vote for a five-year term (eligible for a second term); elections last held on 28 June 2010 (next to be held in 2015); vice presidents nominated by the president, endorsed by parliament |
| Executive branch: | election results: Pierre NKURUNZIZA elected president by popular vote; Pierre NKURUNZIZA 91.6%, other 8.4%; note - opposition parties withdrew from the election due to alleged government interference in the electoral process |
| Legislative branch: | bicameral Parliament or Parlement, consists of a Senate (54 seats; 34 members elected by indirect vote to serve five-year terms, with remaining seats assigned to ethnic groups and former chiefs of state) and a National Assembly or Assemblee Nationale (minimum 100 seats, 60% Hutu and 40% Tutsi with at least 30% being women; additional seats appointed by a National Independent Electoral Commission to ensure ethnic representation; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 23 July 2010 (next to be held in 2015) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - TBD; National Assembly - percent of vote by party - CNDD-FDD 81.2%, UPRONA 11.6%, FRODEBU 5.9%, others 1.3%; seats by party - CNDD-FDD 81, UPRONA 17, FRODEBU 5, other 3 |
| Judicial branch: | Supreme Court or Cour Supreme; Constitutional Court; High Court of Justice (composed of the Supreme Court and the Constitutional Court) |
| Political parties and leaders: | governing parties: Burundi Democratic Front or FRODEBU [Leonce NGENDAKUMANA]; National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD [Jeremie NGENDAKUMANA]; Union for National Progress (Union pour le Progress Nationale) or UPRONA [Bonaventure NIYOYANKANA] |
| Political parties and leaders: | note: a multiparty system was introduced after 1998, included are: National Council for the Defense of Democracy or CNDD [Leonard NYANGOMA]; National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI]; Party for National Redress or PARENA [Jean-Baptiste BAGAZA] |
| Political pressure groups and leaders: | Forum for the Strengthening of Civil Society or FORSC [Pacifique NININAHAZWE] (civil society umbrella organization); Observatoire de lutte contre la corruption et les malversations economiques or OLUCOME [Gabriel RUFYIRI] (anti-corruption pressure group) |
| Political pressure groups and leaders: | other: Hutu and Tutsi militias (loosely organized) |
| International organization participation: | ACP, AfDB, AU, CEPGL, COMESA, EAC, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Angele NIYUHIRE |
| Diplomatic representation in the US: | chancery: Suite 212, 2233 Wisconsin Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2574 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-2578 |
| Diplomatic representation from the US: | chief of mission: Ambassador [vacant]; Charge d'Affaires Samuel R. WATSON |
| Diplomatic representation from the US: | embassy: Avenue des Etats-Unis, Bujumbura |
| Diplomatic representation from the US: | mailing address: B. P. 1720, Bujumbura |
| Diplomatic representation from the US: | telephone: [257] 223454 |
| Diplomatic representation from the US: | FAX: [257] 222926 |
| Flag description: | divided by a white diagonal cross into red panels (top and bottom) and green panels (hoist side and fly side) with a white disk superimposed at the center bearing three red six-pointed stars outlined in green arranged in a triangular design (one star above, two stars below); green symbolizes hope and optimism, white purity and peace, and red the blood shed in the struggle for independence; the three stars in the disk represent the three major ethnic groups: Hutu, Twa, Tutsi, as well as the three elements in the national motto: unity, work, progress |
| National symbol(s): | lion |
| National anthem: | name: "Burundi Bwacu" (Our Beloved Burundi) |
| National anthem: | lyrics/music: Jean-Baptiste NTAHOKAJA/Marc BARENGAYABO |
| National anthem: | note: adopted 1962 |
