| Government | Somalia |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Somalia |
| Country name: | conventional short form: Somalia |
| Country name: | local long form: Jamhuuriyadda Federaalkaa Soomaaliya |
| Country name: | local short form: Soomaaliya |
| Country name: | former: Somali Republic, Somali Democratic Republic |
| Country name: | etymology: "Land of the Somali" (ethnic group) |
| Government type: | federal parliamentary republic |
| Capital: | name: Mogadishu |
| Capital: | geographic coordinates: 2 04 N, 45 20 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: several theories attempt to explain the city's name; one of the more plausible is that it derives from "maq'ad-i-shah" meaning "the seat of the shah," reflecting the city's links with Persia |
| Administrative divisions: | 18 regions (plural - NA, singular - gobolka); Awdal, Bakool, Banaadir, Bari, Bay, Galguduud, Gedo, Hiiraan, Jubbada Dhexe (Middle Jubba), Jubbada Hoose (Lower Jubba), Mudug, Nugaal, Sanaag, Shabeellaha Dhexe (Middle Shabeelle), Shabeellaha Hoose (Lower Shabeelle), Sool, Togdheer, Woqooyi Galbeed |
| Independence: | 1 July 1960 (from a merger of British Somaliland, which became independent from the UK on 26 June 1960, and Italian Somaliland, which became independent from the Italian-administered UN trusteeship on 1 July 1960 to form the Somali Republic) |
| National holiday: | Foundation of the Somali Republic, 1 July (1960); note - 26 June (1960) in Somaliland |
| Constitution: | history: previous 1961, 1979; latest drafted 12 June 2012, approved 1 August 2012 (provisional) |
| Constitution: | amendments: proposed by the federal government, by members of the state governments, the Federal Parliament, or by public petition; proposals require review by a joint committee of Parliament with inclusion of public comments and state legislaturesâ€™ comments; passage requires at least two-thirds majority vote in both houses of Parliament and approval by a majority of votes cast in a referendum; constitutional clauses on Islamic principles, the federal system, human rights and freedoms, powers and authorities of the government branches, and inclusion of women in national institutions cannot be amended |
| Legal system: | mixed legal system of civil law, Islamic (sharia) law, and customary law (referred to as Xeer) |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Somalia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mohamed ABDULLAHI Mohamed "Farmaajo" (since 8 February 2017) |
| Executive branch: | head of government: Prime Minister Mohamed Hussein ROBLE (since 27 September 2020) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister, approved by the House of the People |
| Executive branch: | elections/appointments: president indirectly elected by the Federal Parliament by two-thirds majority vote in 2 rounds if needed for a single 4-year term; election last held on 8 February 2017 (previously scheduled for 30 September 2016 but postponed repeatedly); prime minister appointed by the president, approved by the House of the People |
