| Government | Somalia |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Somalia |
| Country name: | conventional short form: Somalia |
| Country name: | local long form: Jamhuuriyadda Federaalkaa Soomaaliya |
| Country name: | local short form: Soomaaliya |
| Country name: | former: Somali Republic, Somali Democratic Republic |
| Government type: | in the process of building a federated parliamentary republic |
| Capital: | name: Mogadishu |
| Capital: | geographic coordinates: 2 04 N, 45 20 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 18 regions (plural - NA, singular - gobolka); Awdal, Bakool, Banaadir, Bari, Bay, Galguduud, Gedo, Hiiraan, Jubbada Dhexe (Middle Jubba), Jubbada Hoose (Lower Jubba), Mudug, Nugaal, Sanaag, Shabeellaha Dhexe (Middle Shabeelle), Shabeellaha Hoose (Lower Shabeelle), Sool, Togdheer, Woqooyi Galbeed |
| Independence: | 1 July 1960 (from a merger of British Somaliland that became independent from the UK on 26 June 1960 and Italian Somaliland that became independent from the Italian-administered UN trusteeship on 1 July 1960 to form the Somali Republic) |
| National holiday: | Foundation of the Somali Republic, 1 July (1960); note - 26 June (1960) in Somaliland |
| Constitution: | previous 1961, 1979; latest drafted 12 June 2012, approved 1 August 2012 (provisional) (2012) |
| Legal system: | mixed legal system of civil law, Islamic law, and customary law (referred to as Xeer) |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President HASSAN SHEIKH Mahamud (since 10 September 2012) |
| Executive branch: | head of government: Prime Minister Abdi Farrah SHIRDON Said (since 6 October 2012) |
| Executive branch: | cabinet: Cabinet appointed by the president approved by the National Parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by the National Parliament; election last held 10 September 2012 |
| Executive branch: | election results: HASSAN SHEIKH Mahamud elected president; National Parliament vote - HASSAN SHEIKH Mahamud 190, Sheikh SHARIF Sheikh Ahmed 79; president chooses the prime minister, who is then elected by National Parliament |
| Legislative branch: | bicameral National Parliament consisting of the House of the People of the Federal Parliament (275 seats, elected by Somali citizens) and the Upper House of the Federal Parliament (54 seats, elected by people of the federal member states) |
| Legislative branch: | note: the inaugural House of the People in September 2012 was appointed by clan elders; as of January 2013, the Upper House has not been formed |
| Judicial branch: | highest court(s): Transitional Supreme Court (consists of the chief justice and 3 judges) |
| Judicial branch: | note - under the terms of the 2004 Transitional National Charter (TNC), a Supreme Court based in Mogadishu and an Appeal Court were established; yet most regions have reverted to local forms of conflict resolution, either secular, traditional Somali customary law, or sharia Islamic law |
| Judicial branch: | judge selection and term of office: judges appointed by the president upon proposal of the Judicial Service Council, a 9-member judicial and administrative body; judge tenure NA |
| Judicial branch: | subordinate courts: Transitional Appeal Court; regional and district courts; sharia (Islamic courts) |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | other: numerous clan and sub-clan factions exist both in support and in opposition to the transitional government |
| International organization participation: | ACP, AfDB, AFESD, AMF, AU, CAEU (candidate), FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, ITSO, ITU, LAS, NAM, OIC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WFTU (NGOs), WHO, WIPO, WMO |
| Diplomatic representation in the US: | Somalia does not have an embassy in the US (ceased operations on 8 May 1991); note - the Transitional Federal Government is represented in the US through its Permanent Mission to the UN |
| Diplomatic representation from the US: | the US does not have an embassy in Somalia; US interests are represented by the US Special Representative for Somalia, James P. MCANULTY operating out of the US Embassy in Nairobi, Kenya at United Nations Avenue, Nairobi; mailing address: Unit 64100, Nairobi; APO AE 09831; telephone: [254] (20) 363-6000; FAX [254] (20) 363-6157 |
| Flag description: | light blue with a large white five-pointed star in the center; the blue field was originally influenced by the flag of the UN, but today is said to denote the sky and the neighboring Indian Ocean; the five points of the star represent the five regions in the horn of Africa that are inhabited by Somali people: the former British Somaliland and Italian Somaliland (which together make up Somalia), Djibouti, Ogaden (Ethiopia), and the North East Province (Kenya) |
| National symbol(s): | leopard |
| National anthem: | name: "Soomaaliyeey toosoo" (Somalia Wake Up) |
| National anthem: | lyrics/music: Ali Mire AWALE and Yuusuf Xaaji Aadan Cilmi QABILLE |
| National anthem: | note: adopted 2000; written in 1947, the lyrics speak of creating unity and an end to fighting |
| Government - note: | regional and local governing bodies continue to exist and control various areas of the country, including the self-declared Republic of Somaliland in northwestern Somalia and the semi-autonomous State of Puntland in northeastern Somalia |
