| Government | Mali |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Country name: | etymology: name derives from the West African Mali Empire of the 13th to 16th centuries A.D. |
| Government type: | semi-presidential republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region), 1 district*; District de Bamako*, Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou (Timbuktu); note - two new regions, Menaka and Taoudenni, were reportedly created in early 2016, but these have not yet been vetted by the US Board on Geographic Names |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | history: several previous; latest drafted August 1991, approved by referendum 12 January 1992, effective 25 February 1992, suspended briefly in 2012 (2017) |
| Constitution: | amendments: proposed by the president of the republic or by members of the National Assembly; passage requires two-thirds majority vote by the Assembly and approval in a referendum; constitutional sections on the integrity of the state, its republican and secular form of government, and its multiparty system cannot be amended; amended 1999 (2017) |
| Legal system: | civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in the Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Mali |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of 19 members organized into 3 civil chambers and a criminal chamber); Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Supreme Court members appointed by the Ministry of Justice to serve 5-year terms; Constitutional Court members selected - 3 each by the president, the National Assembly, and the Supreme Council of the Magistracy; members serve single renewable 7-year terms |
| Judicial branch: | subordinate courts: Court of Appeal; High Court of Justice (jurisdiction limited to cases of high treason or criminal offenses by the president or ministers while in office); magistrate courts; first instance courts; labor dispute courts; special court of state security |
| Executive branch: | chief of state: President Ibrahim Boubacar KEITA (since 4 September 2013) |
| Executive branch: | head of government: Prime Minister Soumeylou Boubeye MAIGA (since 31 December 2017) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 29 July 2018 with a runoff on 12 August 2018; prime minister appointed by the president |
