| Government | Mali |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Government type: | republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region), 1 district*; District de Bamako*, Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou (Timbuktu) |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | adopted 12 January 1992 |
| Legal system: | civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: [Interim] President Dioncounda TRAORE (since 12 April 2012) |
| Executive branch: | note: in the aftermath of the March 2012 coup, deposed President TOURE, in a brokered deal, resigned to facilitate the naming of an interim president and transition back toward democratic rule |
| Executive branch: | head of government: [Interim] Prime Minister Django CISSOKO (since 11 December 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 29 April 2007 (election scheduled for 29 April 2012 delayed indefinitely following the military coup); prime minister appointed by the president |
| Executive branch: | election results: Amadou Toumani TOURE reelected president; percent of vote - Amadou Toumani TOURE 71.2%, Ibrahim Boubacar KEITA 19.2%, other 9.6% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (147 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 1 and 22 July 2007 (July 2012 scheduled election indefinitely delayed after the military coup) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ADP coalition 113 (ADEMA 51, URD 34, MPR 8, CNID 7, UDD 3, and other 10), FDR coalition 15 (RPM 11, PARENA 4), SADI 4, independent 15 |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | African Solidarity for Democracy and Independence or SADI [Oumar MARIKO, secretary general]; Alliance for Democracy or ADEMA [Diounconda TRAORE]; Alliance for Democracy and Progress or ADP (a coalition of political parties including ADEMA and URD formed in December 2006 to support the presidential candidacy of Amadou TOURE); Alliance for Democratic Change (political group comprised mainly of Tuareg from Mali's northern region); Convergence 2007 [Soumeylou Boubeye MAIGA]; Convergence for the development of Mali or CODEM [Housseyni GUINDO]; Front for Democracy and the Republic or FDR (a coalition of political parties including RPM and PARENA formed to oppose the presidential candidacy of Amadou TOURE); National Congress for Democratic Initiative or CNID [Mountaga TALL]; Party for Democracy and Progress or PDP [Mady KONATE]; Party for National Renewal or PARENA [Tiebile DRAME]; Patriotic Movement for Renewal or MPR [Choguel MAIGA]; Rally for Democracy and Labor or RDT [Amadou Ali NIANGADOU]; Rally for Mali or RPM [Ibrahim Boubacar KEITA]; Sudanese Union/African Democratic Rally or US/RDA [Mamadou Basir GOLOGO]; Union for Democracy and Development or UDD [Moussa Balla COULIBALY]; Union for Republic and Democracy or URD [Soumaila CISSE] |
| Political pressure groups and leaders: | other: the army; Islamic authorities; state-run cotton company CMDT |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNMISS, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Al Maamoun Baba Lamine KEITA |
| Diplomatic representation in the US: | chancery: 2130 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-2249, 939-8950 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-6603 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Beth LEONARD |
| Diplomatic representation from the US: | embassy: located just off the Roi Bin Fahad Aziz Bridge just west of the Bamako central district |
| Diplomatic representation from the US: | mailing address: ACI 2000, Rue 243, Porte 297, Bamako |
| Diplomatic representation from the US: | telephone: [223] 270-2300 |
| Diplomatic representation from the US: | FAX: [223] 270-2479 |
| Flag description: | three equal vertical bands of green (hoist side), yellow, and red |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the same as those of neighboring Senegal (which has an additional green central star) and the reverse of those on the flag of neighboring Guinea |
| National anthem: | name: "Le Mali" (Mali) |
| National anthem: | lyrics/music: Seydou Badian KOUYATE/Banzoumana SISSOKO |
| National anthem: | note: adopted 1962; the anthem is also known as "Pour L'Afrique et pour toi, Mali" (For Africa and for You, Mali) and "A ton appel Mali" (At Your Call, Mali) |
