| Government | Mali |
| --- | --- |
| Country name: | conventional long form: Republic of Mali |
| Country name: | conventional short form: Mali |
| Country name: | local long form: Republique de Mali |
| Country name: | local short form: Mali |
| Country name: | former: French Sudan and Sudanese Republic |
| Government type: | republic |
| Capital: | name: Bamako |
| Capital: | geographic coordinates: 12 39 N, 8 00 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region), 1 district*; District de Bamako*, Gao, Kayes, Kidal, Koulikoro, Mopti, Segou, Sikasso, Tombouctou (Timbuktu) |
| Independence: | 22 September 1960 (from France) |
| National holiday: | Independence Day, 22 September (1960) |
| Constitution: | several previous; latest drafted August 1991, approved by referendum 12 January 1992, effective 25 February 1992; amended 1999; note - suspended briefly in 2012 (2012) |
| Legal system: | civil law system based on the French civil law model and influenced by customary law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ibrahim Boubacar KEITA (since 4 September 2013) |
| Executive branch: | head of government: Prime Minister Moussa MARA (since 9 April 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); the election scheduled for 29 April 2012 and delayed following the March 2012 coup took place 28 July 2013 and a runoff election was held on 11 August 2013; prime minister appointed by the president |
| Executive branch: | election results: Ibrahim Boubacar KEITA elected president in a runoff election; percent of vote - Ibrahim Boubacar KEITA 77.6%, Soumaila CISSE 22.4% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (160 seats: 147 seats elected in single seat constituencies and 13 seats elected by Malians abroad; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held in two rounds on 24 November 2013 and on 15 December 2013 (next to be held in 2017); note the scheduled July 2012 election was cancelled due to a coup d'etat and the Tuareg Rebellion |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - FDR coalition 64 (RPM 61, PARENA 3), ADP coalition 42 (ADEMA 20, URD 18, CNID 4), FARE 5, CODEM 5, SADI 4, ASMA-CFP 4, Yelema 2, independents 16, other 5; note - 13 seats were from voters abroad |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of 19 members organized into 3 civil chambers and a criminal chamber); Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Supreme Court members appointed by the Ministry of Justice to serve 5-year terms; Constitutional Court members selected - 3 each by the president, the National Assembly, and the Supreme Council of the Magistracy; members serve single renewable 7-year terms |
