| Government | Jordan |
| --- | --- |
| Country name: | conventional long form: Hashemite Kingdom of Jordan |
| Country name: | conventional short form: Jordan |
| Country name: | local long form: Al Mamlakah al Urduniyah al Hashimiyah |
| Country name: | local short form: Al Urdun |
| Country name: | former: Transjordan |
| Government type: | constitutional monarchy |
| Capital: | name: Amman |
| Capital: | geographic coordinates: 31 57 N, 35 56 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Friday in March; ends last Friday in October |
| Administrative divisions: | 12 governorates (muhafazat, singular - muhafazah); 'Ajlun, Al 'Aqabah, Al Balqa', Al Karak, Al Mafraq, 'Amman, At Tafilah, Az Zarqa', Irbid, Jarash, Ma'an, Madaba |
| Independence: | 25 May 1946 (from League of Nations mandate under British administration) |
| National holiday: | Independence Day, 25 May (1946) |
| Constitution: | previous 1928 (preindependence); latest initially adopted 28 November 1947, revised and ratified 1 January 1952; amended several times, last in 2011 (2012) |
| Legal system: | mixed legal system of civil law and Islamic religious law; judicial review of legislative acts in a specially provided High Tribunal |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King ABDALLAH II (since 7 February 1999); Crown Prince HUSSEIN (born 28 June 1994), eldest son of King ABDALLAH II |
| Executive branch: | head of government: Prime Minister Abdullah NSOUR (since 11 October 2012) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister in consultation with the monarch; note - a new cabinet was sworn in 21 August 2013 and includes 13 new ministers, enlarging the government as part of promised reforms |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; prime minister appointed by the monarch |
| Legislative branch: | bicameral National Assembly or Majlis al-'Umma consists of the Senate, also called the House of Notables or Majlis al-Ayan (60 seats; members appointed by the monarch to serve four-year terms) and the Chamber of Deputies, also called the House of Representatives or Majlis al-Nuwaab (150 seats; 123 members elected using the single, non-transferable vote system in multi-member districts, and 27 seats elected using a closed national list system based on proportional representation; all legislators serve four-year terms); note - the new electoral law enacted in July 2012 allocated an additional 10 seats (6 seats added to the number reserved for women, bringing the total to 15; 2 additional seats for Amman; and 1 seat each for the cities of Zarqa and Irbid; unchanged are 9 seats reserved for Christian candidates, 9 for Bedouin candidates, and 3 for Jordanians of Chechen or Circassian descent |
| Legislative branch: | elections: Chamber of Deputies - last held on 23 January 2013 (next election 2017); note - the King dissolved the previous Chamber of Deputies in November 2012, midway through the parliamentary term |
| Legislative branch: | election results: Chamber of Deputies - percent of vote by party - NA; seats by party - 27 elected on closed national list to include: Islamic Centrist Party 3, Nation 2, National Union 2, Stronger Jordan 2, Ahl al-Himma 1, Al-Bayyan 1, Citizenship 1, Construction 1, Cooperation 1, Dawn 1, Dignity 1, Free Voice 1, Labor and Trade 1, National Accord Youth Block 1, National Action 1, National Current 1 (member resigned in February 2013), National Unity 1, Nobel Jerusalem 1, Salvation 1, The People 1, Unified Front 1, Voice of Nation 1; other 123; note - the IAF boycotted the election |
| Judicial branch: | highest court(s): Court of Cassation or Supreme Court (consists of 7 judges including the chief justice; 7-judge panels for important cases and 5 judge panels for most appeals cases) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the king; other judges nominated by the Higher Judicial Council and approved by the king; judge tenure NA |
| Judicial branch: | subordinate courts: courts of appeal; magistrate courts; courts of first instance; religious courts; State Security Court |
| Political parties and leaders: | Ahl al-Himma |
| Political parties and leaders: | Al-Bayyan |
| Political parties and leaders: | Al-Hayah Jordanian Party [Zahier AMR] |
| Political parties and leaders: | Arab Ba'ath Socialist Party [Akram al-HIMSI] |
| Political parties and leaders: | Ba'ath Arab Progressive Party [Fuad DABBOUR] |
| Political parties and leaders: | Citizenship |
| Political parties and leaders: | Construction |
| Political parties and leaders: | Cooperation |
| Political parties and leaders: | Dawn |
| Political parties and leaders: | Democratic People's Party [Ablah ABU ULBAH] |
| Political parties and leaders: | Democratic Popular Unity Party [Sa'id DIAB] |
| Political parties and leaders: | Dignity |
| Political parties and leaders: | Du'a Party [Muhammed ABU BAKR] |
| Political parties and leaders: | Free Voice |
| Political parties and leaders: | Islamic Action Front or IAF [Hamzah MANSOUR] |
| Political parties and leaders: | Islamic Centrist Party [Muhammad al-HAJ] |
| Political parties and leaders: | Jordanian Communist Party [Munir HAMARNAH] |
| Political parties and leaders: | Jordanian National Party [Muna ABU BAKR] |
| Political parties and leaders: | Jordanian United Front [Amjad al-MAJALI] |
| Political parties and leaders: | Labor and Trade |
| Political parties and leaders: | Nation |
| Political parties and leaders: | National Accord Youth Block |
| Political parties and leaders: | National Action |
| Political parties and leaders: | National Constitution Party [Ahmad al-SHUNAQ] |
| Political parties and leaders: | National Current Party [Abd al-Hadi al-MAJALI] |
| Political parties and leaders: | National Movement for Direct Democracy [Muhammad al-QAQ] |
| Political parties and leaders: | National Union |
| Political parties and leaders: | National Unity |
| Political parties and leaders: | Nobel Jerusalem |
| Political parties and leaders: | Risalah Party [Hazem QASHOU] |
| Political parties and leaders: | Salvation |
| Political parties and leaders: | Stronger Jordan |
| Political parties and leaders: | The Direct Democratic Nationalists Movement Party [Nash'at KHALIFAH] |
| Political parties and leaders: | The People |
| Political parties and leaders: | Unified Front |
| Political parties and leaders: | United Front |
| Political parties and leaders: | Voice of the Nation |
| Political pressure groups and leaders: | 15 April Movement [Mohammad SUNEID, chairman] |
| Political pressure groups and leaders: | 24 March Movement [Mu'az al-KHAWALIDAH, Abdel Rahman HASANEIN, spokespersons] |
| Political pressure groups and leaders: | 1952 Constitution Movement |
| Political pressure groups and leaders: | Anti-Normalization Committee [Hamzah MANSOUR, chairman] |
| Political pressure groups and leaders: | Economic and Social Association of Retired Servicemen and Veterans or ESARSV [Abdulsalam al-HASSANAT, chairman] |
| Political pressure groups and leaders: | Group of 36 |
| Political pressure groups and leaders: | Higher Coordination Committee of Opposition Parties [Said DIAB] |
| Political pressure groups and leaders: | Higher National Committee for Military Retirees or HNCMR [Ali al-HABASHNEH, chairman] |
| Political pressure groups and leaders: | Hirak |
| Political pressure groups and leaders: | Jordan Bar Association [Saleh al-ARMUTI, chairman] |
| Political pressure groups and leaders: | Jordanian Campaign for Change or Jayin |
| Political pressure groups and leaders: | Jordanian Muslim Brotherhood [Dr. Hamam SAID, controller general] |
| Political pressure groups and leaders: | Jordanian Press Association [Sayf al-SHARIF, president] |
| Political pressure groups and leaders: | National Front for Reform or NFR [Ahmad OBEIDAT, chairman] |
| Political pressure groups and leaders: | Popular Gathering for Reform |
| Political pressure groups and leaders: | Professional Associations Council [Abd al-Hadi al-FALAHAT, chairman] |
| Political pressure groups and leaders: | Sons of Jordan |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, CD, CICA, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MINUSTAH, MINUSMA, MONUSCO, NAM, OIC, OPCW, OSCE (partner), PCA, UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Alia Hatough BOURAN (since 14 September 2010) |
| Diplomatic representation in the US: | chancery: 3504 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2664 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3110 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stuart E. JONES (since 21 July 2011) |
| Diplomatic representation from the US: | embassy: Abdoun, Al-Umawyeen St., Amman |
| Diplomatic representation from the US: | mailing address: P. O. Box 354, Amman 11118 Jordan; Unit 70200, Box 5, DPO AE 09892-0200 |
| Diplomatic representation from the US: | telephone: [962] (6) 590-6000 |
| Diplomatic representation from the US: | FAX: [962] (6) 592-0163 |
