| Government | Fiji |
| --- | --- |
| Country name: | conventional long form: Republic of the Fiji Islands |
| Country name: | conventional short form: Fiji |
| Government type: | republic |
| Government type: | note: military coup leader Maj. Gen. Sitiveni RABUKA formally declared Fiji a republic on 6 October 1987 |
| Capital: | Suva |
| Administrative divisions: | 4 divisions and 1 dependency*; Central, Eastern, Northern, Rotuma*, Western |
| Independence: | 10 October 1970 (from UK) |
| National holiday: | Independence Day, second Monday of October (1970) |
| Constitution: | promulgated on 25 July 1990 and amended on 25 July 1997 to allow nonethnic Fijians greater say in government and to make multiparty government mandatory; entered into force 28 July 1998; note - the May 1999 election was the first test of the amended constitution and introduced open voting - not racially prescribed - for the first time at the national level |
| Legal system: | based on British system |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: President Ratu Josefa ILOILOVATU Uluivuda (since NA 2000); Vice President Jope SENILOLI (since NA 2000) |
| Executive branch: | head of government: Prime Minister Laisenia QARASE (since 10 September 2000) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament and is responsible to Parliament; note - there is also a Presidential Council that advises the president on matters of national importance and a Great Council of Chiefs, which consists of the highest ranking members of the traditional chief system |
| Executive branch: | elections: president elected by the Great Council of Chiefs for a five-year term; prime minister appointed by the president |
| Executive branch: | election results: Ratu Josefa ILOILOVATU Uluivuda elected president by the Great Council of Chiefs; percent of vote - NA% |
| Legislative branch: | bicameral Parliament consists of the Senate (34 seats; 24 appointed by the Great Council of Chiefs, nine appointed by the president, and one appointed by the council of Rotuma) and the House of Representatives (71 seats; 23 reserved for ethnic Fijians, 19 reserved for ethnic Indians, three reserved for other ethnic groups, one reserved for the council of Rotuma constituency encompassing the whole of Fiji, and 25 open seats; members serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held 25 August through 1 September, 19 September 2001 (next to be held not later than September 2006) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - FLP 34.8%, SDL 26%, NFP 10.1%, MV 9.9%, independents 2.7%, other 16.5%; seats by party - NA |
| Judicial branch: | Supreme Court (judges are appointed by the president); Court of Appeal; High Court; Magistrates' Courts |
| Political parties and leaders: | Bai Kei Viti Party or BKV [Ratu Tevita MOMOEDONU]; Conservative Alliance Party/Matanitu Vanua or MV [Ratu Rakuita VAKALALABURE]; Dodonu Ni Taukei Party or DNT [Fereti S. DEWA]; Fiji Democratic Party or FDP [Felipe BOLE] (a merger of the Christian Democrat Alliance or VLV [Poesci Waqalevu BUNE], Fijian Association Party or FAP [Adi Kuini SPEED], Fijian Political Party or SVT (primarily Fijian) [Felipe BOLE], and New Labor Unity Party or NLUP [Tupeni BABA]); Fiji Labor Party or FLP [Mahendra CHAUDRHRY]; General Voters Party or GVP [leader NA] (became part of United General Party); Girmit Heritage Party or GHP [leader NA]; Justice and Freedom Party or AIM [leader NA]; Lio 'On Famor Rotuma Party or LFR [leader NA]; National Federation Party or NFP (primarily Indian) [Pramond RAE]; Nationalist Vanua Takolavo Party or NVTLP [Saula TELAWA]; Party of National Unity or PANU [Meli BOGILEKA]; Party of the Truth or POTT [leader NA]; United Fiji Party/Sogosogo Duavata ni Lewenivanua or SDL [Laisenia QARASE]; United General Party or UGP [Millis Mick BEDDOES] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, CP, ESCAP, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, OPCW, PCA, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNIKOM, UNMIBH, UNMIK, UNMISET, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Anare JALE |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1996 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-8320 |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Avenue NW, Suite 240, Washington, DC 20007 |
| Diplomatic representation from the US: | chief of mission: Ambassador David L. LYON |
| Diplomatic representation from the US: | embassy: 31 Loftus Street, Suva |
| Diplomatic representation from the US: | mailing address: P. O. Box 218, Suva |
| Diplomatic representation from the US: | telephone: [679] 331-4466 |
| Diplomatic representation from the US: | FAX: [679] 330-0081 |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant and the Fijian shield centered on the outer half of the flag; the shield depicts a yellow lion above a white field quartered by the cross of Saint George featuring stalks of sugarcane, a palm tree, bananas, and a white dove |
