| Government | Fiji |
| --- | --- |
| Country name: | conventional long form: Republic of Fiji |
| Country name: | conventional short form: Fiji |
| Country name: | local long form: Republic of Fiji/Matanitu ko Viti |
| Country name: | local short form: Fiji/Viti |
| Country name: | etymology: the Fijians called their home Viti, but the neighboring Tongans called it Fisi, and in the Anglicized spelling of the Tongan pronunciation - promulgated by explorer Captain James COOK - the designation became Fiji |
| Government type: | parliamentary republic |
| Capital: | name: Suva (on Viti Levu) |
| Capital: | geographic coordinates: 18 08 S, 178 25 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in November; ends second Sunday in January |
| Administrative divisions: | 14 provinces and 1 dependency*; Ba, Bua, Cakaudrove, Kadavu, Lau, Lomaiviti, Macuata, Nadroga and Navosa, Naitasiri, Namosi, Ra, Rewa, Rotuma*, Serua, Tailevu |
| Independence: | 10 October 1970 (from the UK) |
| National holiday: | Fiji (Independence) Day, 10 October (1970) |
| Constitution: | history: several previous; latest signed into law 6 September 2013 |
| Legal system: | common law system based on the English model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Fiji |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: at least 5 years residency out of the 10 years preceding application |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jioji Konousi KONROTE (since 12 November 2015) |
| Executive branch: | head of government: Prime Minister Voreqe "Frank" BAINIMARAMA (since 22 September 2014) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among members of Parliament and is responsible to Parliament |
| Executive branch: | elections/appointments: president elected by Parliament for a 3-year term (eligible for a second term); election last held on 31 August 2018 (next to be held in 2021); prime minister endorsed by the president |
| Executive branch: | election results: Jioji Konousi KONROTE reelected president (unopposed) |
| Legislative branch: | description: unicameral Parliament (51 seats; members directly elected in a nationwide, multi-seat constituency by open-list proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 14 November 2018 (next to be held in 2022) |
| Legislative branch: | election results: percent of vote by party - FijiFirst 50%, SODELPA 39.6%, NFP 7.4%; seats by party - FijiFirst 27, SODELPA 21, NFP 3; composition - men 41, women 10, percent of women 19.6% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice, all justices of the Court of Appeal, and judges appointed specifically as Supreme Court judges); Court of Appeal (consists of the court president, all puisne judges of the High Court, and judges specifically appointed to the Court of Appeal); High Court (chaired by the chief justice and includes a minimum of 10 puisne judges; High Court organized into civil, criminal, family, employment, and tax divisions) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president of Fiji on the advice of the prime minister following consultation with the parliamentary leader of the opposition; judges of the Supreme Court, the president of the Court of Appeal, the justices of the Court of Appeal, and puisne judges of the High Court appointed by the president of Fiji upon the nomination of the Judicial Service Commission after consulting with the cabinet minister and the committee of the House of Representatives responsible for the administration of justice; the chief justice, Supreme Court judges and justices of Appeal generally required to retire at age 70, but this requirement may be waived for one or more sessions of the court; puisne judges appointed for not less than 4 years nor more than 7 years, with mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: Magistrates' Court (organized into civil, criminal, juvenile, and small claims divisions) |
| Political parties and leaders: | FijiFirst [Veroqe "Frank" BAINIMARAMA] |
| Political parties and leaders: | Fiji Labor Party or FLP [Mahendra CHAUDHRY] |
| Political parties and leaders: | Fiji United Freedon Party or FUFP [Jagath KARUNARATNE] |
| Political parties and leaders: | National Federation Party or NFP [Biman PRASAD] (primarily Indian) |
| Political parties and leaders: | Peoples Democratic Party or PDP [Lynda TABUYA] |
| Political parties and leaders: | Social Democratic Liberal Party or SODELPA |
| Political parties and leaders: | Unity Fiji [Adi QORO] |
| International organization participation: | ACP, ADB, AOSIS, C, CP, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITSO, ITU, ITUC (NGOs), MIGA, OPCW, PCA, PIF, Sparteca (suspended), SPC, UN, UNCTAD, UNDOF, UNESCO, UNIDO, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Solo MARA (since 28 January 2016) |
| Diplomatic representation in the US: | chancery: 2000 M Street NW, Suite 710, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 466-8320 |
| Diplomatic representation in the US: | FAX: [1] (202) 466-8325 |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph James CELLA (since 23 December 2019); note - also accredited to Kiribati, Nauru, Tonga, and Tuvalu |
| Diplomatic representation from the US: | telephone: [679] 331-4466 |
| Diplomatic representation from the US: | embassy: 158 Princes Rd, Tamavua |
| Diplomatic representation from the US: | mailing address: P. O. Box 218, Suva |
| Diplomatic representation from the US: | FAX: [679] 330-8685 |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant and the Fijian shield centered on the outer half of the flag; the blue symbolizes the Pacific Ocean and the Union Jack reflects the links with Great Britain; the shield - taken from Fiji's coat of arms - depicts a yellow lion, holding a coconut pod between its paws, above a white field quartered by the cross of Saint George; the four quarters depict stalks of sugarcane, a palm tree, a banana bunch, and a white dove of peace |
| National symbol(s): | Fijian canoe; national color: light blue |
| National anthem: | name: God Bless Fiji |
| National anthem: | lyrics/music: Michael Francis Alexander PRESCOTT/C. Austin MILES (adapted by Michael Francis Alexander PRESCOTT) |
| National anthem: | note: adopted 1970; known in Fijian as "Meda Dau Doka" (Let Us Show Pride); adapted from the hymn, "Dwelling in Beulah Land," the anthem's English lyrics are generally sung, although they differ in meaning from the official Fijian lyrics |
