| Government | Fiji |
| --- | --- |
| Country name: | conventional long form: Republic of the Fiji Islands |
| Country name: | conventional short form: Fiji |
| Country name: | local long form: Republic of the Fiji Islands/Matanitu ko Viti |
| Country name: | local short form: Fiji/Viti |
| Government type: | republic |
| Capital: | name: Suva (on Viti Levu) |
| Capital: | geographic coordinates: 18 08 S, 178 25 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 divisions and 1 dependency*; Central, Eastern, Northern, Rotuma*, Western |
| Independence: | 10 October 1970 (from UK) |
| National holiday: | Independence Day, second Monday of October (1970) |
| Constitution: | enacted on 25 July 1997 to encourage multiculturalism and make multiparty government mandatory; effective 28 July 1998 |
| Legal system: | based on British system |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: President Ratu Josefa ILOILOVATU Uluivuda (since 18 July 2000) |
| Executive branch: | head of government: Prime Minister Laisenia QARASE (since 10 September 2000) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament and is responsible to Parliament |
| Executive branch: | elections: president elected by the Great Council of Chiefs for a five-year term (eligible for a second term); prime minister appointed by the president; election last held 8 March 2006 (next to be held in 2011) |
| Executive branch: | election results: Ratu Josefa ILOILOVATU Uluivuda elected president by the Great Council of Chiefs; percent of vote - NA |
| Legislative branch: | bicameral Parliament consists of the Senate (32 seats; 14 appointed by the president on the advice of the Great Council of Chiefs, 9 appointed by the president on the advice of the Prime Minister, 8 on the advice of the Opposition Leader, and 1 appointed on the advice of the council of Rotuma) and the House of Representatives (71 seats; 23 reserved for ethnic Fijians, 19 reserved for ethnic Indians, 3 reserved for other ethnic groups, 1 reserved for the council of Rotuma constituency encompassing the whole of Fiji, and 25 open seats; members serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held 25 August through 1 September and 19 September 2001 (next to be held 6-13 May 2006) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - SDL 27.5%, FLP 26.5%, MV 4.2%, NLUP 1.3%, NFP 1.2%, independents 1.4%, UGP .3%; seats by party - SDL 32, FLP 27, MV 6, NLUP 2, NFP 1, independents 2, UGP 1 |
| Judicial branch: | Supreme Court (judges are appointed by the president); Court of Appeal; High Court; Magistrates' Courts |
| Political parties and leaders: | Conservative Alliance Party/Matanitu Vanua or CAMV [Ratu Josefa DIMURI]; Dodonu Ni Taukei Party or DNT [Fereti S. DEWA]; Fiji Democratic Party or FDP [Filipe BOLE] (a merger of the Christian Democrat Alliance or VLV [Poesci Waqalevu BUNE], Fijian Association Party or FAP, Fijian Political Party or SVT (primarily Fijian) [Sitiveni RABUKA], and New Labor Unity Party or NLUP [Ofa SWANN]); Fiji Labor Party or FLP [Mahendra CHAUDHRY]; General Voters Party or GVP (became part of United General Party); Girmit Heritage Party or GHP; Justice and Freedom Party or AIM; Lio 'On Famor Rotuma Party or LFR; National Federation Party or NFP (primarily Indian) [Pramond RAE]; Nationalist Vanua Takolavo Party or NVTLP [Saula TELAWA]; Party of National Unity or PANU [Ponipate LESAVUA]; Party of the Truth or POTT; United Fiji Party/Sogosogo Duavata ni Lewenivanua or SDL [Laisenia QARASE]; United General Party or UGP [Millis Mick BEDDOES] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, CP, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITU, MIGA, OPCW, PCA, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UNMIS, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jesoni VITUSAGAVULU |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Avenue NW, Suite 240, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-8320 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1996 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry Miles DINGER |
| Diplomatic representation from the US: | embassy: 31 Loftus Street, Suva |
| Diplomatic representation from the US: | mailing address: P. O. Box 218, Suva |
| Diplomatic representation from the US: | telephone: [679] 331-4466 |
| Diplomatic representation from the US: | FAX: [679] 330-0081 |
| Flag description: | light blue with the flag of the UK in the upper hoist-side quadrant and the Fijian shield centered on the outer half of the flag; the shield depicts a yellow lion above a white field quartered by the cross of Saint George featuring stalks of sugarcane, a palm tree, bananas, and a white dove |
