| Government | Vanuatu |
| --- | --- |
| Country name: | conventional long form: Republic of Vanuatu |
| Country name: | conventional short form: Vanuatu |
| Country name: | local long form: Ripablik blong Vanuatu |
| Country name: | local short form: Vanuatu |
| Country name: | former: New Hebrides |
| Government type: | parliamentary republic |
| Capital: | name: Port-Vila (on Efate) |
| Capital: | geographic coordinates: 17 44 S, 168 19 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 6 provinces; Malampa, Penama, Sanma, Shefa, Tafea, Torba |
| Independence: | 30 July 1980 (from France and the UK) |
| National holiday: | Independence Day, 30 July (1980) |
| Constitution: | effective 30 July 1980; amended 1981, 1983, 1988 (2006) |
| Legal system: | mixed legal system of English common law, French law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Iolu Johnson ABBIL (since 3 September 2009) |
| Executive branch: | head of government: Prime Minister Joe NATUMAN (since 14 May 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister, responsible to parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected for a five-year term by an electoral college consisting of parliament and the presidents of the regional councils; election for president last held on 2 September 2009 (next to be held in 2014); following legislative elections, the leader of the majority party or majority coalition usually elected prime minister by parliament from among its members; election for prime minister last held on 23 March 2013 (next to be held following general elections in 2016) |
| Executive branch: | election results: Iolu Johnson ABBIL elected president, with 41 votes out of 58, on the third ballot on 2 September 2009; Joe NATUMAN elected prime minister following a no confidence vote against the government of Moana CARCASSES Kalosil on 15 May 2014 |
| Legislative branch: | unicameral Parliament (52 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 30 October 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - VP 8, PPP 6, UMP 5, GJP 4, NUP 4, IG 3, GC 3, NAG 3, RMC 3, MPP 2, NIPDP 2, PSP 1, VLDP 1, VNP 1, VPDP 1, VRP 1, and independent 4; note - political party associations are fluid |
| Legislative branch: | note: the National Council of Chiefs advises on matters of culture and language |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief justice and 3 judges); note - appeals from the Supreme Court are considered by the Court of Appeal, constituted by 2 or more judges of the Supreme Court sitting together |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the president after consultation with the prime minister and the leader of the opposition; other judges are appointed by the president on the advice of the Judicial Service Commission, a 4-member advisory body; judges appointed until age of retirement |
| Judicial branch: | subordinate courts: magistrates' courts; island courts |
| Political parties and leaders: | Greens Confederation or GC [Moana CARCASSES Kalosil] |
| Political parties and leaders: | Iauko Group or IG [NA] |
| Political parties and leaders: | Land and Justice Party (Graon mo Jastis Pati) or GJP [Ralph REGENVANU] |
| Political parties and leaders: | Melanesian Progressive Party or MPP [Barak SOPE] |
| Political parties and leaders: | Nagriamel movement or NAG [NA] |
| Political parties and leaders: | Natatok Indigenous People's Democratic Party or (NATATOK) or NIPDP [Alfred Roland CARLOT] |
| Political parties and leaders: | National United Party or NUP [Ham LINI] |
| Political parties and leaders: | People's Progressive Party or PPP [Sato KILMAN] |
| Political parties and leaders: | People's Service Party or PSP [Don KEN] |
| Political parties and leaders: | Reunification of Movement for Change or RMC [Charlot SALWAI] |
| Political parties and leaders: | Union of Moderate Parties or UMP [Serge VOHOR] |
| Political parties and leaders: | Vanua'aku Pati (Our Land Party) or VP [Edward NATAPEI] |
| Political parties and leaders: | Vanuatu Democratic Party [Maxime Carlot KORMAN] |
| Political parties and leaders: | Vanuatu Liberal Democratic Party or VLDP [Tapangararua WILLIE] |
| Political parties and leaders: | Vanuatu National Party or VNP [Issac HAMARILIU] |
| Political parties and leaders: | Vanuatu Progressive Development Party or VPDP [Robert Bohn SIKOL] |
| Political parties and leaders: | Vanuatu Republican Party or VRP [Marcellino PIPITE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, IMSO, IOC, IOM, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OIF, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Vanuatu does not have an embassy in the US; it does, however, have a Permanent Mission to the UN |
| Diplomatic representation from the US: | the US does not have an embassy in Vanuatu; the US ambassador to Papua New Guinea, currently Ambassador Walter E. North, is accredited to Vanuatu |
| Flag description: | two equal horizontal bands of red (top) and green with a black isosceles triangle (based on the hoist side) all separated by a black-edged yellow stripe in the shape of a horizontal Y (the two points of the Y face the hoist side and enclose the triangle); centered in the triangle is a boar's tusk encircling two crossed namele fern fronds, all in yellow; red represents the blood of boars and men, green the richness of the islands, and black the ni-Vanuatu people; the yellow Y-shape - which reflects the pattern of the islands in the Pacific Ocean - symbolizes the light of the Gospel spreading through the islands; the boar's tusk is a symbol of prosperity frequently worn as a pendant on the islands; the fern fronds represent peace |
| National symbol(s): | boar's tusk |
| National anthem: | name: "Yumi, Yumi, Yumi" (We, We, We) |
| National anthem: | lyrics/music: Francois Vincent AYSSAV |
| National anthem: | note: adopted 1980, the anthem is written in Bislama, a Creole language that mixes Pidgin English and French |
