| Government | Vanuatu |
| --- | --- |
| Country name: | conventional long form: Republic of Vanuatu |
| Country name: | conventional short form: Vanuatu |
| Country name: | local long form: Ripablik blong Vanuatu |
| Country name: | local short form: Vanuatu |
| Country name: | former: New Hebrides |
| Government type: | parliamentary republic |
| Capital: | name: Port-Vila (on Efate) |
| Capital: | geographic coordinates: 17 44 S, 168 19 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 provinces; Malampa, Penama, Sanma, Shefa, Tafea, Torba |
| Independence: | 30 July 1980 (from France and the UK) |
| National holiday: | Independence Day, 30 July (1980) |
| Constitution: | 30 July 1980 |
| Legal system: | unified system being created from former dual French and British systems; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Iolu Johnson ABIL (since 3 September 2009) |
| Executive branch: | head of government: Prime Minister Edward NATAPEI (since 22 September 2008); Deputy Prime Minister Ham LINI (since 22 September 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister, responsible to parliament |
| Executive branch: | elections: president elected for a five-year term by an electoral college consisting of parliament and the presidents of the regional councils; election for president last held 2 September 2009 (next to be held in 2014); following legislative elections, the leader of the majority party or majority coalition is usually elected prime minister by parliament from among its members; election for prime minister last held 22 September 2008 (next to be held following general elections in 2012) |
| Executive branch: | election results: Iolu Johnson ABIL elected president, with 41 votes out of 58, on the third ballot on 2 September 2009 |
| Legislative branch: | unicameral Parliament (52 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 2 September 2008 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - VP 11, NUP 8, UMP 7, VRP 7, PPP 4, GC 2, MPP 1, NA 1, NAG 1, PAP 1, Shepherds Alliance 1, VFFP 1, VLP 1, VNP 1, VPRFP 1, and independent 4; note - political party associations are fluid |
| Legislative branch: | note: the National Council of Chiefs advises on matters of culture and language |
| Judicial branch: | Supreme Court (chief justice is appointed by the president after consultation with the prime minister and the leader of the opposition, three other justices are appointed by the president on the advice of the Judicial Service Commission) |
| Political parties and leaders: | Greens Confederation or GC [Moana CARCASSES]; Jon Frum Movement or JF [Song KEASPAI]; Melanesian Progressive Party or MPP [Barak SOPE]; Nagriamel movement or NAG [Havo MOLI]; Namangi Aute or NA [Paul TELUKLUK]; National United Party or NUP [Ham LINI]; People's Action Party or PAP [Peter VUTA]; People's Progressive Party or PPP [Sato KILMAN]; Shepherds Alliance Party [leader NA]; Union of Moderate Parties or UMP [Serge VOHOR]; Vanuatu Family First Party or VFFP [Eta RORI]; Vanuatu Labor Party or VLP [Joshua KALSAKAU]; Vanuatu National Party or VNP [Issac HAMARILIU]; Vanua'aku Pati (Our Land Party) or VP [Edward NATAPEI]; Vanuatu Republican Party or VRP [Maxime Carlot KORMAN]; Vanuatu Republican Farmers Party or VPRFP [Jean RAVOU] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, ADB, C, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, IOC, ITU, ITUC, MIGA, NAM, OAS (observer), OIF, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WMO, WTO (observer) |
| Diplomatic representation in the US: | Vanuatu does not have an embassy in the US; it does, however, have a Permanent Mission to the UN |
| Diplomatic representation from the US: | the US does not have an embassy in Vanuatu; the ambassador to Papua New Guinea is accredited to Vanuatu |
| Flag description: | two equal horizontal bands of red (top) and green with a black isosceles triangle (based on the hoist side) all separated by a black-edged yellow stripe in the shape of a horizontal Y (the two points of the Y face the hoist side and enclose the triangle); centered in the triangle is a boar's tusk encircling two crossed namele leaves, all in yellow |
