| Government | Kuwait |
| --- | --- |
| Country name: | conventional long form: State of Kuwait |
| Country name: | conventional short form: Kuwait |
| Country name: | local short form: Al Kuwayt |
| Country name: | local long form: Dawlat al Kuwayt |
| Government type: | nominal constitutional monarchy |
| Capital: | Kuwait |
| Administrative divisions: | 5 governorates (muhafazat, singular - muhafazah); Al Ahmadi, Al Farwaniyah, Al 'Asimah, Al Jahra', Hawalli |
| Independence: | 19 June 1961 (from UK) |
| National holiday: | National Day, 25 February (1950) |
| Constitution: | approved and promulgated 11 November 1962 |
| Legal system: | civil law system with Islamic law significant in personal matters; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | adult males who have been naturalized for 30 years or more or have resided in Kuwait since before 1920 and their male descendants at age 21 |
| Suffrage: | note: only 10% of all citizens are eligible to vote; in 1996, naturalized citizens who do not meet the pre-1920 qualification but have been naturalized for 30 years were eligible to vote for the first time |
| Executive branch: | chief of state: Amir JABIR al-Ahmad al-Jabir Al Sabah (since 31 December 1977); Crown Prince SAAD al-Abdullah al-Salim Al Sabah |
| Executive branch: | head of government: Prime Minister SABAH al-Ahmad al-Jabir Al Sabah (since 13 July 2003); First Deputy Prime Minister and Minister of the Interior NAWWAF al-Ahmad Al Sabah (since 2003); Deputy Prime Ministers JABIR MUBARAK al-Hamad Al Sabah (since 2001) and Muhammad Dayfallah al-SHARAR (since 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister and approved by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; prime minister and deputy prime ministers appointed by the monarch |
| Legislative branch: | unicameral National Assembly or Majlis al-Umma (50 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 6 July 2003 (next to be held NA 2007) |
| Legislative branch: | election results: percent of vote - NA; seats - Islamists 21, government supporters 14, liberals 3, and independents 12; note - all cabinet ministers are also ex officio members of the National Assembly |
| Judicial branch: | High Court of Appeal |
| Political parties and leaders: | none; formation of political parties is illegal |
| Political pressure groups and leaders: | several political groups act as de facto parties: Bedouins, merchants, Sunni and Shi'a activists, and secular leftists and nationalists |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, BDEAC, CAEU, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador SALIM al-Abdallah Jabir Al Sabah |
| Diplomatic representation in the US: | FAX: [1] (202) 364-2868 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-0702 |
| Diplomatic representation in the US: | chancery: 2940 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard LEBARON |
| Diplomatic representation from the US: | embassy: Bayan, Area 14, Al-Masjed Al-Aqsa Street (near the Bayan palace), Kuwait City |
| Diplomatic representation from the US: | mailing address: P. O. Box 77 Safat 13001 Kuwait; or PSC 1280 APO AE 09880-9000 |
| Diplomatic representation from the US: | telephone: [965] 539-5307, 5308 |
| Diplomatic representation from the US: | FAX: [965] 538-0282 |
| Flag description: | three equal horizontal bands of green (top), white, and red with a black trapezoid based on the hoist side; design, which dates to 1961, based on the Arab revolt flag of World War I |
