| Government | Antigua and Barbuda |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Antigua and Barbuda |
| Government type: | constitutional monarchy with a parliamentary system of government and a Commonwealth realm |
| Capital: | name: Saint John's |
| Capital: | geographic coordinates: 17 07 N, 61 51 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 parishes and 2 dependencies*; Barbuda*, Redonda*, Saint George, Saint John, Saint Mary, Saint Paul, Saint Peter, Saint Philip |
| Independence: | 1 November 1981 (from the UK) |
| National holiday: | Independence Day (National Day), 1 November (1981) |
| Constitution: | several previous; latest presented 31 July 1981; effective 31 October 1981 (Antigua and Barbuda Constitutional Order 1981) (2011) |
| Legal system: | common law based on the English model |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Louisse LAKE-TACK (since 17 July 2007) |
| Executive branch: | head of government: Prime Minister Winston Baldwin SPENCER (since 24 March 2004) |
| Executive branch: | cabinet: Council of Ministers appointed by the governor general on the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor general chosen by the monarch on the advice of the prime minister; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the governor general |
| Legislative branch: | bicameral Parliament consists of the Senate (17 seats; members appointed by the governor general) and the House of Representatives (17 seats; members are elected by proportional representation to serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 12 March 2009 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - UPP 50.9%, ALP 47.2%, BPM 1.1%, other 0.8%; seats by party - UPP 9, ALP 7, BPM 1 |
| Judicial branch: | highest court(s): the Eastern Caribbean Supreme Court (ECSC) is the itinerant superior court of record for the 9-member Organization of Eastern Caribbean States to include Antigua and Barbuda; the ECSC - headquartered on St. Lucia - is headed by the chief justice and is comprised of the Court of Appeal with 3 justices and the High Court with 16 judges; sittings of the Court of Appeal and High Court rotate among the 9 member states; 2 High Court judges reside on Antigua and Barbuda |
| Judicial branch: | note - Antigua and Barbuda replaced the Judicial Committee of the Privy Council in London as the final appellate court; also a member of the Caribbean Court of Justice |
| Judicial branch: | judge selection and term of office: Eastern Caribbean Supreme Court Chief Justice appointed by the Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 |
| Judicial branch: | subordinate courts: Industrial Court; Magistrates' Courts |
| Political parties and leaders: | Antigua Labor Party or ALP [Gaston BROWNE] |
| Political parties and leaders: | Barbuda People's Movement or BPM [Trevor WALKER] |
| Political parties and leaders: | Barbuda People's Movement for Change [Arthur NIBBS] |
| Political parties and leaders: | Barbudans for a Better Barbuda [Ordrick SAMUEL] |
| Political parties and leaders: | United Progressive Party or UPP [W. Baldwin SPENCER] (a coalition of three parties - Antigua Caribbean Liberation Movement or ACLM, Progressive Labor Movement or PLM, United National Democratic Party or UNDP) |
| Political pressure groups and leaders: | Antigua Trades and Labor Union or ATLU [Wigley GEORGE] |
| Political pressure groups and leaders: | People's Democratic Movement or PDM [Hugh MARSHALL] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, FAO, G-77, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (subscriber), ITU, ITUC (NGOs), MIGA, NAM, OAS, OECS, OPANAL, OPCW, Petrocaribe, UN, UNCTAD, UNESCO, UPU, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Deborah Mae LOVELL (since 8 March 2005) |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-5122 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-5525 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | the US does not have an embassy in Antigua and Barbuda; the US Ambassador to Barbados is accredited to Antigua and Barbuda |
| Flag description: | red, with an inverted isosceles triangle based on the top edge of the flag; the triangle contains three horizontal bands of black (top), light blue, and white, with a yellow rising sun in the black band; the sun symbolizes the dawn of a new era, black represents the African heritage of most of the population, blue is for hope, and red is for the dynamism of the people; the "V" stands for victory; the successive yellow, blue, and white coloring is also meant to evoke the country's tourist attractions of sun, sea, and sand |
| National anthem: | name: "Fair Antigua, We Salute Thee" |
| National anthem: | lyrics/music: Novelle Hamilton RICHARDS/Walter Garnet Picart CHAMBERS |
| National anthem: | note: adopted 1967; as a Commonwealth country, in addition to the national anthem, "God Save the Queen" serves as the royal anthem (see United Kingdom) |
